timestamp_s,frame,class_id,class_name,confidence,x1,y1,x2,y2,track_id
0.103,1,0,fpv,0.6509,228.1,104.3,261.9,123.2,
0.205,2,0,fpv,0.6694,232.8,106.2,265.4,125.0,
0.308,3,0,fpv,0.6699,235.3,108.2,268.9,127.4,
0.410,4,0,fpv,0.6880,238.7,109.3,271.4,129.9,
0.513,5,0,fpv,0.6611,242.9,113.0,275.2,131.2,
0.615,6,0,fpv,0.6943,244.5,113.5,279.5,132.9,
0.718,7,0,fpv,0.6636,248.8,114.9,281.2,135.5,
0.820,8,0,fpv,0.6489,252.3,119.5,283.0,136.9,
0.922,9,0,fpv,0.6646,252.7,119.3,287.5,139.0,
1.024,10,0,fpv,0.6699,257.3,122.1,289.9,141.5,
1.130,11,0,fpv,0.6821,259.5,123.6,295.0,143.4,
1.233,12,0,fpv,0.6821,262.6,124.9,293.2,146.1,
1.335,13,0,fpv,0.6646,265.0,125.8,298.8,148.5,
1.439,14,0,fpv,0.6685,267.6,129.5,301.4,151.7,
1.542,15,0,fpv,0.6875,270.5,132.8,304.5,153.7,
1.644,16,0,fpv,0.6982,273.2,135.5,305.2,156.0,
1.747,17,0,fpv,0.6724,274.9,136.4,308.8,159.7,
1.850,18,0,fpv,0.7017,277.3,139.0,311.0,161.8,
1.952,19,0,fpv,0.6675,281.1,141.2,313.1,163.6,
2.055,20,0,fpv,0.6831,281.6,144.4,314.4,165.0,
2.160,21,0,fpv,0.6797,285.0,147.6,316.5,167.8,
2.262,22,0,fpv,0.6709,286.1,148.4,318.7,170.3,
2.365,23,0,fpv,0.7070,286.4,150.7,321.5,173.2,
2.469,24,0,fpv,0.6372,289.5,153.4,325.0,174.6,
2.572,25,0,fpv,0.6807,291.4,155.5,325.4,177.1,
2.674,26,0,fpv,0.6807,293.1,157.2,325.7,179.4,
2.777,27,0,fpv,0.6748,293.8,160.3,327.9,183.5,
2.880,28,0,fpv,0.6396,295.7,162.3,331.0,185.5,
2.983,29,0,fpv,0.6240,295.1,162.3,331.7,188.8,
3.085,30,0,fpv,0.6230,297.5,165.6,334.6,192.1,
3.291,31,0,fpv,0.6440,300.4,167.9,337.0,194.4,
3.393,32,0,fpv,0.6562,300.8,171.8,335.9,195.3,
3.498,33,0,fpv,0.6147,301.4,172.9,340.2,198.1,
3.600,34,0,fpv,0.6299,304.5,173.7,342.1,199.9,
