timestamp_s,cpu_percent,ram_percent,ram_used_mb,cpu_frequency_mhz,temperature_c,throttled_hex,throttled_flags
1.024,81.3,17.0,1374.4,2400.0,55.1,0x0,
2.055,81.1,17.0,1372.3,2400.0,55.1,0x0,
3.085,73.8,17.0,1371.8,2400.0,54.0,0x0,
4.113,81.1,17.0,1369.8,2400.0,55.1,0x0,
5.143,81.3,17.0,1367.8,2400.0,54.5,0x0,
6.172,81.2,16.9,1364.8,2400.0,55.1,0x0,
7.201,81.1,16.9,1362.1,2400.0,55.6,0x0,
8.229,81.2,16.9,1360.2,2400.0,56.8,0x0,
9.260,81.4,16.9,1358.7,2400.0,55.1,0x0,
10.291,81.1,16.8,1356.3,2400.0,56.2,0x0,
11.323,81.3,16.8,1353.1,2400.0,55.6,0x0,
12.352,81.0,16.8,1352.1,2400.0,55.6,0x0,
13.381,81.1,16.8,1353.1,2400.0,56.8,0x0,
14.412,80.9,16.8,1351.4,2400.0,56.8,0x0,
15.444,81.6,16.8,1353.0,2400.0,56.8,0x0,
16.472,81.1,16.8,1353.6,2400.0,56.2,0x0,
17.502,81.3,16.7,1350.1,2400.0,56.2,0x0,
18.534,81.1,16.8,1353.1,2400.0,57.3,0x0,
19.563,81.2,16.8,1353.3,2400.0,56.2,0x0,
20.594,81.0,16.7,1350.4,2400.0,55.6,0x0,
21.622,81.1,16.7,1348.5,2400.0,54.5,0x0,
22.651,81.3,16.8,1351.1,2400.0,56.8,0x0,
23.681,81.0,16.7,1349.1,2400.0,59.0,0x0,
24.713,81.4,16.7,1347.2,2400.0,57.3,0x0,
25.742,81.1,16.7,1347.2,2400.0,57.9,0x0,
26.772,81.2,16.7,1345.1,2400.0,56.2,0x0,
27.802,81.1,16.7,1344.6,2400.0,56.2,0x0,
28.828,81.2,16.7,1344.5,2400.0,56.2,0x0,
29.862,81.2,16.7,1343.6,2400.0,57.3,0x0,
31.073,79.8,16.7,1344.3,2400.0,56.2,0x0,
